variable,permutation,dropout_loss,label
z,5,569.0942654990798,LightGBM
_baseline_,5,5199.652731112837,LightGBM
_full_model_,6,-16.498903157039308,LightGBM
carat,6,2230.0672598114675,LightGBM
cut,6,8.342361049304145,LightGBM
color,6,756.3843286742502,LightGBM
clarity,6,926.6818483554838,LightGBM
depth,6,4.2133568309474185,LightGBM
table,6,-10.83428388958123,LightGBM
x,6,114.2671859652645,LightGBM
y,6,2160.47808398557,LightGBM
z,6,512.342227800896,LightGBM
_baseline_,6,4811.873249692454,LightGBM
_full_model_,7,-36.63601301734161,LightGBM
carat,7,2300.5335031214963,LightGBM
cut,7,-15.949612976634967,LightGBM
color,7,708.943191614405,LightGBM
clarity,7,953.9656717648753,LightGBM
depth,7,-17.975066032514405,LightGBM
table,7,-37.453519817457504,LightGBM
x,7,98.2702477248016,LightGBM
y,7,2166.657048218777,LightGBM
z,7,563.6761216436993,LightGBM
_baseline_,7,5071.063781500067,LightGBM
_full_model_,8,-5.147614064367076,LightGBM
carat,8,2099.5534278421164,LightGBM
cut,8,21.545504970518095,LightGBM
color,8,795.0205125823567,LightGBM
clarity,8,1216.7905785813982,LightGBM
depth,8,17.926084194507553,LightGBM
table,8,-6.588834431925193,LightGBM
x,8,110.91829293087949,LightGBM
y,8,2238.1070674557045,LightGBM
z,8,494.2897948159972,LightGBM
_baseline_,8,5124.40140631598,LightGBM
_full_model_,9,46.92336490675393,LightGBM
carat,9,2382.4697843598706,LightGBM
cut,9,65.05429541548835,LightGBM
color,9,782.1337051967704,LightGBM
clarity,9,1172.4900680478327,LightGBM
depth,9,49.42605464929011,LightGBM
table,9,42.635441587383184,LightGBM
x,9,174.09836754042806,LightGBM
y,9,2386.2977405975485,LightGBM
z,9,680.7644593677534,LightGBM
_baseline_,9,5444.0935875078,LightGBM
_full_model_,10,12.3985665490967,LightGBM
carat,10,2300.8746258029328,LightGBM
cut,10,24.94514595153464,LightGBM
color,10,654.6208338604262,LightGBM
clarity,10,1210.1202457974432,LightGBM
depth,10,24.325683688943514,LightGBM
table,10,20.948410198586657,LightGBM
x,10,159.39938159055157,LightGBM
y,10,2320.537969553635,LightGBM
z,10,591.1662742363304,LightGBM
_baseline_,10,5148.175439507208,LightGBM
_full_model_,11,-36.95890355299184,LightGBM
carat,11,2143.6231847050335,LightGBM
cut,11,-17.62245780382557,LightGBM
color,11,792.4094772133484,LightGBM
clarity,11,1108.8920186928385,LightGBM
depth,11,-14.952922852297775,LightGBM
table,11,-33.17503841538519,LightGBM
x,11,97.52645756155573,LightGBM
y,11,2139.254207427617,LightGBM
z,11,475.6576211868311,LightGBM
_baseline_,11,4965.270884093546,LightGBM
_full_model_,12,80.65905172330179,LightGBM
carat,12,2351.5266810114854,LightGBM
cut,12,100.8065978939303,LightGBM
color,12,766.6601224819268,LightGBM
clarity,12,1041.8078322899996,LightGBM
depth,12,65.09691675838042,LightGBM
table,12,80.41698513923166,LightGBM
x,12,186.44906167527245,LightGBM
y,12,2456.025339946915,LightGBM
z,12,672.9141029978633,LightGBM
_baseline_,12,5299.2538176098,LightGBM
_full_model_,13,-13.157617165567899,LightGBM
carat,13,2209.0307609880883,LightGBM
cut,13,8.864937432524812,LightGBM
color,13,711.4449394725365,LightGBM
clarity,13,1112.0032191549453,LightGBM
depth,13,-17.150665683119087,LightGBM
table,13,-17.81263151666917,LightGBM
x,13,124.0737824585434,LightGBM
y,13,2223.23115786086,LightGBM
z,13,542.247228388212,LightGBM
_baseline_,13,5104.561224766242,LightGBM
_full_model_,14,5.6317745767864835,LightGBM
carat,14,2155.866717543829,LightGBM
cut,14,28.87022084454975,LightGBM
color,14,699.2215850908134,LightGBM
clarity,14,1042.8683376259828,LightGBM
depth,14,19.98281118102841,LightGBM
table,14,7.773631249381879,LightGBM
x,14,128.03018699241352,LightGBM
y,14,2185.36165586874,LightGBM
z,14,574.3480143713563,LightGBM
_baseline_,14,4853.139768841608,LightGBM
_full_model_,15,40.00362729554399,LightGBM
carat,15,2260.7812123447397,LightGBM
cut,15,54.574466504825295,LightGBM
color,15,775.4621170439212,LightGBM
clarity,15,1115.2738382901048,LightGBM
depth,15,62.07279274819882,LightGBM
table,15,33.385625082737306,LightGBM
x,15,151.53152547057755,LightGBM
y,15,2323.185399994434,LightGBM
z,15,582.9377297871814,LightGBM
_baseline_,15,5099.788105818415,LightGBM
_full_model_,16,17.209358684860717,LightGBM
carat,16,2346.0469672892727,LightGBM
cut,16,24.507656538363563,LightGBM
color,16,857.87019898748,LightGBM
clarity,16,1223.0866669668399,LightGBM
depth,16,16.284215967789464,LightGBM
table,16,17.657651924054335,LightGBM
x,16,161.45857750999096,LightGBM
y,16,2317.0527301762013,LightGBM
z,16,543.9637183626354,LightGBM
_baseline_,16,5165.579911261892,LightGBM
_full_model_,17,8.918410491903046,LightGBM
carat,17,2144.59405929128,LightGBM
cut,17,30.842457235366055,LightGBM
color,17,774.4545261018405,LightGBM
clarity,17,1087.8908141247593,LightGBM
depth,17,28.375098159943946,LightGBM
table,17,12.988673330071492,LightGBM
x,17,131.35608697204134,LightGBM
y,17,2145.826577284379,LightGBM
z,17,567.7444351152054,LightGBM
_baseline_,17,5001.099948915153,LightGBM
_full_model_,18,-45.48745301775352,LightGBM
carat,18,2218.101665544447,LightGBM
cut,18,-19.446209556500776,LightGBM
color,18,711.7001234384003,LightGBM
clarity,18,992.3556059284141,LightGBM
depth,18,-52.65804852896338,LightGBM
table,18,-48.30808939135602,LightGBM
x,18,78.53526276078787,LightGBM
y,18,2278.6776004512894,LightGBM
z,18,524.9674095028271,LightGBM
_baseline_,18,5127.957206192933,LightGBM
_full_model_,19,40.95475741005157,LightGBM
carat,19,2455.4013591699304,LightGBM
cut,19,58.68225729514802,LightGBM
color,19,802.9504900458506,LightGBM
clarity,19,1148.772366123388,LightGBM
depth,19,22.285536948398658,LightGBM
table,19,43.6978310541557,LightGBM
x,19,161.2704521530584,LightGBM
y,19,2376.5491291978115,LightGBM
z,19,605.5607076023101,LightGBM
_baseline_,19,5073.796764946998,LightGBM
_full_model_,20,-30.255748459788606,LightGBM
carat,20,2222.347631815334,LightGBM
cut,20,-6.740979592316194,LightGBM
color,20,716.7413185325676,LightGBM
clarity,20,1086.439377126001,LightGBM
depth,20,-29.679903680138068,LightGBM
table,20,-34.049368610963825,LightGBM
x,20,89.87929347243312,LightGBM
y,20,2164.5624392826685,LightGBM
z,20,494.11504369647366,LightGBM
_baseline_,20,5008.143480850334,LightGBM
_full_model_,21,-47.02002475324298,LightGBM
carat,21,2310.295822308402,LightGBM
cut,21,-23.163740720321357,LightGBM
color,21,644.3587512098969,LightGBM
clarity,21,1095.546452899297,LightGBM
depth,21,-37.905702751203194,LightGBM
table,21,-43.06908561472517,LightGBM
x,21,99.71899961162558,LightGBM
y,21,2246.2194633667714,LightGBM
z,21,603.0883368652995,LightGBM
_baseline_,21,5230.479412454896,LightGBM
_full_model_,22,30.47037196954534,LightGBM
carat,22,2242.210932267393,LightGBM
cut,22,55.52483965765225,LightGBM
color,22,720.7677096445078,LightGBM
clarity,22,1187.6818016038346,LightGBM
depth,22,40.68161902144152,LightGBM
table,22,19.266950947804617,LightGBM
x,22,167.36895249631618,LightGBM
y,22,2278.562931352637,LightGBM
z,22,597.8060181133925,LightGBM
_baseline_,22,5209.766509177878,LightGBM
_full_model_,23,-63.62033876242663,LightGBM
carat,23,2222.6065049975427,LightGBM
cut,23,-43.171856056641104,LightGBM
color,23,691.0531340284598,LightGBM
clarity,23,1084.6907349849962,LightGBM
depth,23,-57.29003686906617,LightGBM
table,23,-62.95448245864418,LightGBM
x,23,81.80616702841121,LightGBM
y,23,2161.382613098895,LightGBM
z,23,559.1538648146258,LightGBM
_baseline_,23,4879.394807175781,LightGBM
_full_model_,24,-31.827134346362527,LightGBM
carat,24,2261.6391269729415,LightGBM
cut,24,-4.694979227013164,LightGBM
color,24,611.5518720299818,LightGBM
clarity,24,1143.9112837522662,LightGBM
depth,24,-19.56334992086886,LightGBM
table,24,-30.92284599951654,LightGBM
x,24,112.2792761509113,LightGBM
y,24,2300.186048992677,LightGBM
z,24,523.9334693099332,LightGBM
_baseline_,24,4917.543261736283,LightGBM
_full_model_,25,19.71638423758077,LightGBM
carat,25,2192.9724564549815,LightGBM
cut,25,48.26832306569065,LightGBM
color,25,714.4233123551456,LightGBM
clarity,25,1085.7622835572033,LightGBM
depth,25,22.555288879135787,LightGBM
table,25,19.675635358682143,LightGBM
x,25,122.5877769046541,LightGBM
y,25,2304.9370765421554,LightGBM
z,25,555.1540316402721,LightGBM
_baseline_,25,4973.822050447026,LightGBM
_full_model_,26,-1.1011355007545944,LightGBM
carat,26,2319.5111942824565,LightGBM
cut,26,15.955032496238118,LightGBM
color,26,714.0066829369783,LightGBM
clarity,26,1066.785159121378,LightGBM
depth,26,24.391705390396965,LightGBM
table,26,9.858402330495778,LightGBM
x,26,133.9851070235652,LightGBM
y,26,2381.8542527559403,LightGBM
z,26,597.0532552060005,LightGBM
_baseline_,26,4931.680036284559,LightGBM
_full_model_,27,-29.393104550127873,LightGBM
carat,27,2174.980406450603,LightGBM
cut,27,-10.870696496495384,LightGBM
color,27,683.2373050169402,LightGBM
clarity,27,1088.897154297555,LightGBM
depth,27,-25.037612726847897,LightGBM
table,27,-24.733865754502062,LightGBM
x,27,78.73425812098606,LightGBM
y,27,2093.1909006920987,LightGBM
z,27,485.2969124459895,LightGBM
_baseline_,27,4894.136625936885,LightGBM
_full_model_,28,25.984480964709974,LightGBM
carat,28,2202.070982527524,LightGBM
cut,28,42.35452814540179,LightGBM
color,28,719.5799159528036,LightGBM
clarity,28,1171.7641095034178,LightGBM
depth,28,33.23505495317693,LightGBM
table,28,31.58361263927486,LightGBM
x,28,155.08680332870586,LightGBM
y,28,2213.7300248619904,LightGBM
z,28,539.7219665429797,LightGBM
_baseline_,28,4701.021754541849,LightGBM
_full_model_,29,-4.311282521645239,LightGBM
carat,29,2191.953221319251,LightGBM
cut,29,13.807065908388722,LightGBM
color,29,741.4796662463604,LightGBM
clarity,29,1131.6424604669646,LightGBM
depth,29,16.032779196339447,LightGBM
table,29,-9.55486427935,LightGBM
x,29,120.85542581236768,LightGBM
y,29,2272.8329520826514,LightGBM
z,29,518.1026751027567,LightGBM
_baseline_,29,5074.969120934308,LightGBM
_full_model_,30,-20.53532026787866,LightGBM
carat,30,2231.194627626145,LightGBM
cut,30,4.9092077111275785,LightGBM
color,30,697.7482502432146,LightGBM
clarity,30,1100.0489901012634,LightGBM
depth,30,-7.952141915490415,LightGBM
table,30,-16.97937014657316,LightGBM
x,30,119.19267667045506,LightGBM
y,30,2202.5419093127016,LightGBM
z,30,553.1667379576264,LightGBM
_baseline_,30,5062.796160179964,LightGBM
_full_model_,31,-8.254594000330599,LightGBM
carat,31,2270.7704364756446,LightGBM
cut,31,10.89846550953871,LightGBM
color,31,799.4204822512662,LightGBM
clarity,31,1053.7259925467615,LightGBM
depth,31,23.17820680406203,LightGBM
table,31,-5.218987614909452,LightGBM
x,31,135.98308564378954,LightGBM
y,31,2200.7519298008574,LightGBM
z,31,559.3992762717497,LightGBM
_baseline_,31,5268.552194429337,LightGBM
_full_model_,32,7.464665995613018,LightGBM
carat,32,2350.8206289584646,LightGBM
cut,32,23.77249853854437,LightGBM
color,32,724.5886491703176,LightGBM
clarity,32,972.8320854904101,LightGBM
depth,32,26.14888334206421,LightGBM
table,32,-1.1520513530151675,LightGBM
x,32,135.154462714465,LightGBM
