variable,permutation,dropout_loss,label
Parch,11,0.16095520777118189,LightGBM
Fare,11,0.20021586616297893,LightGBM
Pclass_X2,11,0.15967350242849432,LightGBM
Pclass_X3,11,0.23711548839719376,LightGBM
Sex_male,11,0.35145709660010793,LightGBM
Embarked_Q,11,0.1570426335671884,LightGBM
Embarked_S,11,0.16817323259579064,LightGBM
_baseline_,11,0.5589584457636265,LightGBM
_full_model_,12,0.15866162978953047,LightGBM
Age,12,0.2097274689692391,LightGBM
SibSp,12,0.1777522935779816,LightGBM
Parch,12,0.15967350242849432,LightGBM
Fare,12,0.21013221802482462,LightGBM
Pclass_X2,12,0.1575148407987048,LightGBM
Pclass_X3,12,0.24831354560172691,LightGBM
Sex_male,12,0.38383702104695094,LightGBM
Embarked_Q,12,0.1570426335671884,LightGBM
Embarked_S,12,0.15758229897463572,LightGBM
_baseline_,12,0.5205072854830006,LightGBM
_full_model_,13,0.15866162978953047,LightGBM
Age,13,0.2135725849973017,LightGBM
SibSp,13,0.20257690232056125,LightGBM
Parch,13,0.15960604425256342,LightGBM
Fare,13,0.23057204533189424,LightGBM
Pclass_X2,13,0.16776848354020513,LightGBM
Pclass_X3,13,0.2235563950350783,LightGBM
Sex_male,13,0.3654209390178089,LightGBM
Embarked_Q,13,0.1570426335671884,LightGBM
Embarked_S,13,0.16034808418780355,LightGBM
_baseline_,13,0.4923097679438748,LightGBM
_full_model_,14,0.15866162978953047,LightGBM
Age,14,0.1731651376146789,LightGBM
SibSp,14,0.16230437128980035,LightGBM
Parch,14,0.16061791689152727,LightGBM
Fare,14,0.18085536967080407,LightGBM
Pclass_X2,14,0.16055045871559637,LightGBM
Pclass_X3,14,0.24062331354560174,LightGBM
Sex_male,14,0.387209929843497,LightGBM
Embarked_Q,14,0.1570426335671884,LightGBM
Embarked_S,14,0.16034808418780355,LightGBM
_baseline_,14,0.44279546681057746,LightGBM
_full_model_,15,0.15866162978953047,LightGBM
Age,15,0.20615218564490012,LightGBM
SibSp,15,0.17903399892066918,LightGBM
Parch,15,0.16426065839179704,LightGBM
Fare,15,0.18443065299514305,LightGBM
Pclass_X2,15,0.16061791689152727,LightGBM
Pclass_X3,15,0.21505666486778197,LightGBM
Sex_male,15,0.4196573124662709,LightGBM
Embarked_Q,15,0.1570426335671884,LightGBM
Embarked_S,15,0.15474905558553698,LightGBM
_baseline_,15,0.4819212088505127,LightGBM
_full_model_,16,0.15866162978953047,LightGBM
Age,16,0.20541014570965999,LightGBM
SibSp,16,0.17903399892066918,LightGBM
Parch,16,0.16021316783594175,LightGBM
Fare,16,0.20716405828386397,LightGBM
Pclass_X2,16,0.16216945493793855,LightGBM
Pclass_X3,16,0.2098623853211009,LightGBM
Sex_male,16,0.4251214247166757,LightGBM
Embarked_Q,16,0.15663788451160277,LightGBM
Embarked_S,16,0.15879654614139238,LightGBM
_baseline_,16,0.43685914732865627,LightGBM
_full_model_,17,0.15866162978953047,LightGBM
Age,17,0.20473556395035075,LightGBM
SibSp,17,0.17383971937398812,LightGBM
Parch,17,0.15778467350242853,LightGBM
Fare,17,0.197584997301673,LightGBM
Pclass_X2,17,0.15947112790070161,LightGBM
Pclass_X3,17,0.20864813815434424,LightGBM
Sex_male,17,0.37412304371289806,LightGBM
Embarked_Q,17,0.1570426335671884,LightGBM
Embarked_S,17,0.1714112250404749,LightGBM
_baseline_,17,0.445831084727469,LightGBM
_full_model_,18,0.15866162978953047,LightGBM
Age,18,0.24082568807339455,LightGBM
SibSp,18,0.175661090124123,LightGBM
Parch,18,0.16284403669724767,LightGBM
Fare,18,0.20864813815434435,LightGBM
Pclass_X2,18,0.1613599568267674,LightGBM
Pclass_X3,18,0.203656233135456,LightGBM
Sex_male,18,0.3552347544522396,LightGBM
Embarked_Q,18,0.15690771721532648,LightGBM
Embarked_S,18,0.15879654614139238,LightGBM
_baseline_,18,0.5712358337830545,LightGBM
_full_model_,19,0.15866162978953047,LightGBM
Age,19,0.2095925526173772,LightGBM
SibSp,19,0.17835941716135995,LightGBM
Parch,19,0.16156233135456022,LightGBM
Fare,19,0.1776173772261198,LightGBM
Pclass_X2,19,0.1612924986508365,LightGBM
Pclass_X3,19,0.21674311926605505,LightGBM
Sex_male,19,0.3704128440366973,LightGBM
Embarked_Q,19,0.1570426335671884,LightGBM
Embarked_S,19,0.1672962763086886,LightGBM
_baseline_,19,0.45905288720992987,LightGBM
_full_model_,20,0.15866162978953047,LightGBM
Age,20,0.21242579600647604,LightGBM
SibSp,20,0.18301403130059368,LightGBM
Parch,20,0.1654074473826228,LightGBM
Fare,20,0.21127900701565028,LightGBM
Pclass_X2,20,0.16594711279007013,LightGBM
Pclass_X3,20,0.23677819751753915,LightGBM
Sex_male,20,0.3794522396114409,LightGBM
Embarked_Q,20,0.1570426335671884,LightGBM
Embarked_S,20,0.16230437128980035,LightGBM
_baseline_,20,0.3916621694549379,LightGBM
_full_model_,21,0.15866162978953047,LightGBM
Age,21,0.22267943874797624,LightGBM
SibSp,21,0.1876686454398273,LightGBM
Parch,21,0.1610901241230437,LightGBM
Fare,21,0.17100647598488938,LightGBM
Pclass_X2,21,0.16014570966001085,LightGBM
Pclass_X3,21,0.1955612520237453,LightGBM
Sex_male,21,0.35199676200755536,LightGBM
Embarked_Q,21,0.1570426335671884,LightGBM
Embarked_S,21,0.1614274150026983,LightGBM
_baseline_,21,0.4778062601187264,LightGBM
_full_model_,22,0.15866162978953047,LightGBM
Age,22,0.21681057744198595,LightGBM
SibSp,22,0.18483540205072857,LightGBM
Parch,22,0.1594711279007015,LightGBM
Fare,22,0.18989476524554783,LightGBM
Pclass_X2,22,0.16419320021586614,LightGBM
Pclass_X3,22,0.2296950890447922,LightGBM
Sex_male,22,0.3946303291958986,LightGBM
Embarked_Q,22,0.1570426335671884,LightGBM
Embarked_S,22,0.16958985429034001,LightGBM
_baseline_,22,0.47456826767404214,LightGBM
